ngram,count,rate_per_10000
son atreus,119,19.743827979824793
son peleus,97,16.09370852136979
son tydeus,84,13.93681975046456
son saturn,65,10.784443854526147
ships achaeans,56,9.291213166976373
father jove,52,8.62755508362092
ajax son,47,7.7979824794266
king agamemnon,45,7.466153437748872
son telamon,45,7.466153437748872
trojans achaeans,44,7.300238916910008
old man,41,6.802495354393417
son priam,41,6.802495354393417
phoebus apollo,33,5.475179187682506
noble son,30,4.977435625165915
hector son,29,4.811521104327051
house hades,29,4.811521104327051
sons achaeans,28,4.645606583488187
son menoetius,27,4.479692062649323
aegis-bearing jove,26,4.31377754181046
gods men,25,4.147863020971596
